vendor,vendor_field,vendor_term,oncotree_code,oncotree_name,organ_system,ncit_code
fmi,disease_ontology,Unknown primary adenocarcinoma,CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Skin melanoma,MEL,Melanoma,Skin,NCIT:C3224
fmi,disease_ontology,Uterus carcinosarcoma,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Unknown primary melanoma,MEL,Melanoma,Skin,NCIT:C3224
fmi,disease_ontology,Breast angiosarcoma,BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Unknown primary malignant neoplasm,CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Soft tissue leiomyosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Pancreas neuroendocrine tumor (NET),PAAD,Pancreatic Adenocarcinoma,Pancreas,NCIT:C4022
fmi,disease_ontology,Soft tissue schwannoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Vagina squamous cell carcinoma (SCC),VAGINA,Vaginal Carcinoma,Female Reproductive,NCIT:C3444
fmi,disease_ontology,Soft tissue desmoplastic small round cell tumor,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Unknown primary undifferentiated neuroendocrine carcinoma,NET,Neuroendocrine Tumor,Endocrine,NCIT:C3262
fmi,disease_ontology,Bone adamantinoma,BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Bone marrow leukemia lymphocytic acute (ALL),BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Soft tissue hemangioendothelioma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Breast carcinoma (NOS),BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Bladder urothelial (transitional cell) carcinoma,BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Uterus endometrial adenocarcinoma endometrioid,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Rectum squamous cell carcinoma (SCC),READ,Rectal Adenocarcinoma,Bowel,NCIT:C9385
fmi,disease_ontology,Lung non-small cell lung carcinoma (NOS),NSCLC,Non-Small Cell Lung Cancer,Lung,NCIT:C2926
fmi,disease_ontology,Uterus leiomyosarcoma,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Unknown primary germ cell tumor,GCT,Germ Cell Tumor,Other,NCIT:C3052
fmi,disease_ontology,Salivary gland carcinoma (NOS),HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Head and neck esthesioneuroblastoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Skin extramammary Pagets disease,SKIN_OTHER,Other Skin Malignancy,Skin,NCIT:C3224
fmi,disease_ontology,Unknown primary GIST,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Soft tissue Ewing sarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Stomach neuroendocrine carcinoma,STAD,Gastric Adenocarcinoma,Esophagus/Stomach,NCIT:C4025
fmi,disease_ontology,Vagina melanoma,MEL,Melanoma,Skin,NCIT:C3224
fmi,disease_ontology,Esophagus carcinoma (NOS),ESCA,Esophageal Carcinoma,Esophagus/Stomach,NCIT:C4026
fmi,disease_ontology,Uterus adenosarcoma,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Adrenal gland cancer (NOS),RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Bladder adenocarcinoma,BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Unknown primary squamous cell carcinoma (SCC),CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Bone marrow leukemia non-lymphocytic acute myelocytic (AML),BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Bone marrow leukemia acute,BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Kidney sarcoma (NOS),RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Unknown primary carcinoma (NOS),CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Lymphoblastic leukemia-lymphoma (NOS),HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Vulva squamous cell carcinoma (SCC),VULVA,Vulvar Carcinoma,Vulva,NCIT:C9312
fmi,disease_ontology,B-lymphoblastic leukemia-lymphoma (B-ALL),HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Unknown primary urothelial carcinoma,BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Skin desmoplastic melanoma,MEL,Melanoma,Skin,NCIT:C3224
fmi,disease_ontology,Scrotum adenocarcinoma,PENIS,Penile / Scrotal Carcinoma,Male Reproductive,NCIT:C3313
fmi,disease_ontology,Penis squamous cell carcinoma (SCC),PENIS,Penile / Scrotal Carcinoma,Male Reproductive,NCIT:C3313
fmi,disease_ontology,Soft tissue fibrohistiocytic tumor,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Soft tissue fibroma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Salivary gland acinic cell carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Soft tissue malignant peripheral nerve sheath tumor (MPNST),SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Soft tissue fibrosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Ovary mucinous carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Cholangiocarcinoma (NOS),CHOL,Cholangiocarcinoma,Biliary Tract,NCIT:C4436
fmi,disease_ontology,Bone chordoma,BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Bone marrow mastocytosis,BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Lung sarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Soft tissue rhabdomyosarcoma (NOS),SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Breast sarcoma,BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Stomach adenocarcinoma (NOS),STAD,Gastric Adenocarcinoma,Esophagus/Stomach,NCIT:C4025
fmi,disease_ontology,Soft tissue chondrosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Thyroid carcinoma (NOS),THCA,Thyroid Carcinoma,Thyroid,NCIT:C3995
fmi,disease_ontology,Ovary small cell carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Ovary cancer (NOS),EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Soft tissue angiosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Pancreas carcinoma (NOS),PAAD,Pancreatic Adenocarcinoma,Pancreas,NCIT:C4022
fmi,disease_ontology,Lymph node lymphoma plasmablastic,HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Thyroid medullary carcinoma,THCA,Thyroid Carcinoma,Thyroid,NCIT:C3995
fmi,disease_ontology,Kidney chromophobe carcinoma,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Pancreas acinar cell carcinoma,PAAD,Pancreatic Adenocarcinoma,Pancreas,NCIT:C4022
fmi,disease_ontology,Bone Ewing sarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Bladder small cell carcinoma,BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Lymph node lymphoma T-cell (NOS),HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Blood hematologic disorder (NOS),HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Anus carcinoma,ANAL,Anal Carcinoma,Bowel,NCIT:C3008
fmi,disease_ontology,Pancreas neuroendocrine tumor (pNET),PAAD,Pancreatic Adenocarcinoma,Pancreas,NCIT:C4022
fmi,disease_ontology,Breast invasive ductal carcinoma (IDC),BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Unknown primary malignant neoplasm (NOS),CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Pancreas adenosquamous carcinoma,PAAD,Pancreatic Adenocarcinoma,Pancreas,NCIT:C4022
fmi,disease_ontology,Salivary gland myoepithelial carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Head and neck carcinoma (NOS),HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Peritoneum mesothelioma,MESO,Mesothelioma,Pleura,NCIT:C3230
fmi,disease_ontology,Testis germ cell tumor (non-seminoma),TESTIS,Testicular Cancer,Male Reproductive,NCIT:C3400
fmi,disease_ontology,Soft tissue myoepithelial carcinoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Ovary carcinosarcoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Lung adenoid cystic carcinoma,NSCLC,Non-Small Cell Lung Cancer,Lung,NCIT:C2926
fmi,disease_ontology,Lymph node lymphoma diffuse large B cell,HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Thymus thymoma (NOS),THYM,Thymic Carcinoma,Thymus,NCIT:C7574
fmi,disease_ontology,Appendix adenocarcinoma,APPD,Appendiceal Carcinoma,Bowel,NCIT:C3011
fmi,disease_ontology,Pleura mesothelioma,MESO,Mesothelioma,Pleura,NCIT:C3230
fmi,disease_ontology,Lung large cell neuroendocrine carcinoma,NET,Neuroendocrine Tumor,Endocrine,NCIT:C3262
fmi,disease_ontology,Ovary high grade serous carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Urachus carcinoma (NOS),BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Soft tissue paraganglioma,CNS,CNS / Brain Tumor,CNS/Brain,NCIT:C3058
fmi,disease_ontology,Urethra squamous cell carcinoma (SCC),BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Head and Neck cancer (NOS),HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Urethra urothelial carcinoma,BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Duodenum neuroendocrine tumor,SMC,Small Bowel Carcinoma,Bowel,NCIT:C3384
fmi,disease_ontology,Bone marrow leukemia T cell acute (T-ALL),BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,PEDIATRIC Adrenal gland cortical carcinoma,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Stomach GIST,STAD,Gastric Adenocarcinoma,Esophagus/Stomach,NCIT:C4025
fmi,disease_ontology,Thyroid anaplastic carcinoma,THCA,Thyroid Carcinoma,Thyroid,NCIT:C3995
fmi,disease_ontology,Esophagus adenocarcinoma,ESCA,Esophageal Carcinoma,Esophagus/Stomach,NCIT:C4026
fmi,disease_ontology,Head and neck melanoma,MEL,Melanoma,Skin,NCIT:C3224
fmi,disease_ontology,Cervix adenocarcinoma,CESC,Cervical Cancer,Cervix,NCIT:C9311
fmi,disease_ontology,Esophagus squamous cell carcinoma (SCC),ESCA,Esophageal Carcinoma,Esophagus/Stomach,NCIT:C4026
fmi,disease_ontology,Anus melanoma,MEL,Melanoma,Skin,NCIT:C3224
fmi,disease_ontology,Ovary low grade serous carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Salivary gland carcinoma ex pleomorphic adenoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Uterus endometrial cancer (NOS),UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Bone chondrosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Unknown primary adenoid cystic carcinoma,CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Salivary gland duct carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Unknown primary serous carcinoma,CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Unknown primary undifferentiated small cell carcinoma,SCLC,Small Cell Lung Cancer,Lung,NCIT:C4917
